epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,62679.2,0.78263,1.06528,0.6674,1.00369,0,0.71342,0.7216,0.74017,0.56427,0.46887,0.53623,0.38865,0.10812,0.8316,0.8208,0.99712,1.18443,0,0.000371283,0.000371283,0.000371283
65,62947.5,0.73175,1.04276,0.64383,0.96788,0,0.75545,0.71014,0.76623,0.59064,0.48466,0.55072,0.41481,0.12316,0.70594,0.78958,0.96551,1.09533,0,0.000358399,0.000358399,0.000358399
66,63204.6,0.73175,1.02796,0.61542,0.99406,0,0.70681,0.73913,0.73468,0.55652,0.50695,0.55072,0.43178,0.13269,0.76086,0.81818,1.02208,1.11546,0,0.000345704,0.000345704,0.000345704
67,63470.7,0.76226,1.08253,0.65912,0.98909,0,0.81346,0.72464,0.77556,0.60751,0.52421,0.52174,0.42519,0.14279,0.73206,0.80074,0.89752,1.10959,0,0.000333211,0.000333211,0.000333211
68,63738.5,0.73544,1.08277,0.61177,0.9716,0,0.7436,0.65217,0.72099,0.58104,0.59121,0.52174,0.42732,0.13068,0.72536,0.81931,0.92095,1.09558,0,0.000320931,0.000320931,0.000320931
69,63998.8,0.7337,1.04824,0.60485,0.98165,0,0.64406,0.78676,0.76306,0.60417,0.51797,0.53623,0.42222,0.11654,0.71283,0.84236,0.91369,1.12442,0,0.000308878,0.000308878,0.000308878
70,64236.8,0.71203,1.0177,0.58065,0.9681,0,0.77597,0.73913,0.79025,0.6108,0.49617,0.6087,0.43184,0.10673,0.79835,0.84891,0.83726,1.16789,0,0.000297062,0.000297062,0.000297062
71,64474.5,0.70208,1.04178,0.57713,0.96488,0,0.85682,0.68116,0.81029,0.63924,0.63572,0.53623,0.48704,0.12758,0.71811,0.82895,0.83826,1.13624,0,0.000285497,0.000285497,0.000285497
72,64725.5,0.70734,1.04527,0.61084,0.97397,0,0.69531,0.82685,0.81382,0.63782,0.65504,0.5504,0.48072,0.1344,0.683,0.81322,0.8142,1.10923,0,0.000274192,0.000274192,0.000274192
73,65025.6,0.72984,1.07056,0.61233,0.97122,0,0.79876,0.71014,0.80061,0.61398,0.6598,0.55072,0.50344,0.1344,0.68991,0.81738,0.82617,1.11478,0,0.000263159,0.000263159,0.000263159
74,65327.3,0.67789,1.02658,0.5676,0.96006,0,0.83219,0.66667,0.75163,0.59681,0.46334,0.55055,0.36926,0.1144,0.71814,0.82248,0.82388,1.15407,0,0.00025241,0.00025241,0.00025241
75,65606.5,0.6626,1.0119,0.5465,0.95128,0,0.76311,0.70036,0.77587,0.61003,0.48457,0.5723,0.40355,0.12491,0.63999,0.81663,0.92391,1.07252,0,0.000241954,0.000241954,0.000241954
76,65870.7,0.67927,1.03583,0.56201,0.95627,0,0.71474,0.81159,0.80407,0.6396,0.70796,0.49188,0.51056,0.137,0.64316,0.84287,0.83429,1.07751,0,0.000231802,0.000231802,0.000231802
77,66137.9,0.66844,1.02484,0.55657,0.96508,0,0.79362,0.73913,0.77637,0.63351,0.55803,0.49275,0.41045,0.12188,0.70135,0.85298,0.87071,1.08535,0,0.000221964,0.000221964,0.000221964
78,66407.7,0.65059,0.9973,0.53479,0.95304,0,0.74715,0.68523,0.76749,0.56614,0.52987,0.47826,0.40144,0.10445,0.79444,0.81954,0.90522,1.23898,0,0.00021245,0.00021245,0.00021245
79,66653.2,0.6687,1.02273,0.5485,0.94683,0,0.73399,0.65217,0.71792,0.56043,0.59148,0.50365,0.42761,0.11633,0.76246,0.81748,0.91849,1.19755,0,0.000203269,0.000203269,0.000203269
80,66916.5,0.66014,1.02862,0.52687,0.94938,0,0.78427,0.63768,0.73107,0.57833,0.64717,0.50511,0.50481,0.12584,0.71083,0.80776,0.96646,1.1443,0,0.00019443,0.00019443,0.00019443
81,67153.7,0.67974,1.0467,0.54032,0.95719,0,0.78821,0.66667,0.75274,0.59258,0.61548,0.52174,0.45725,0.12589,0.71096,0.80855,0.9066,1.16614,0,0.000185942,0.000185942,0.000185942
82,67375.3,0.64812,1.02606,0.53116,0.94474,0,0.76682,0.69565,0.77399,0.6122,0.55222,0.5942,0.47798,0.1327,0.65806,0.81285,0.95311,1.07334,0,0.000177814,0.000177814,0.000177814
83,67606.4,0.66903,1.03599,0.55123,0.95052,0,0.8267,0.68116,0.7759,0.6182,0.63412,0.47826,0.41327,0.12901,0.62884,0.83358,0.93335,1.0539,0,0.000170052,0.000170052,0.000170052
84,67847.4,0.66558,1.04027,0.53324,0.94975,0,0.70793,0.78261,0.78821,0.63302,0.65057,0.56522,0.55977,0.13286,0.5987,0.81568,0.8619,1.05345,0,0.000162666,0.000162666,0.000162666
85,68090.4,0.64677,1.06101,0.52533,0.94991,0,0.7273,0.77311,0.80581,0.65638,0.66715,0.50725,0.49317,0.13115,0.59638,0.8273,0.81295,1.04636,0,0.000155662,0.000155662,0.000155662
86,68327.3,0.66959,1.06946,0.52333,0.95308,0,0.75295,0.70677,0.7634,0.60806,0.55854,0.53623,0.44683,0.12713,0.6095,0.82904,0.91608,1.04922,0,0.000149047,0.000149047,0.000149047
87,68563.7,0.6323,1.0165,0.50034,0.94777,0,0.71436,0.76812,0.78296,0.6356,0.66319,0.55072,0.49936,0.13175,0.63762,0.84024,0.87967,1.06472,0,0.000142828,0.000142828,0.000142828
